Название|Цена|Адрес|Ссылка
2-комн. квартира, 41,8 м², 1/3 этаж |2 800 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, Амурская улица, 65/1|https://novosibirsk.cian.ru/sale/flat/313527527/
1-комн. квартира, 40,3 м², 2/24 этаж |7 350 000 ₽|Новосибирская область, Новосибирск, р-н Железнодорожный, м. Речной вокзал, улица Прибрежная, 6|https://novosibirsk.cian.ru/sale/flat/314149413/
1-комн. квартира, 28,7 м², 4/9 этаж Секция 6 • Сдан|4 155 480 ₽|Новосибирская область, Новосибирск, р-н Калининский, м. Заельцовская, улица Василия Клевцова, 3|https://novosibirsk.cian.ru/sale/flat/276768206/
1-комн. квартира, 33,1 м², 5/5 этаж |3 310 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Березовая Роща, Промышленная улица, 8|https://novosibirsk.cian.ru/sale/flat/313941715/
2-комн. квартира, 53 м², 11/12 этаж |6 900 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Охотская улица, 88/2|https://novosibirsk.cian.ru/sale/flat/311339006/
2-комн. квартира, 65,1 м², 14/23 этаж Секция 2 • Сдан|11 543 200 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, улица Дуси Ковальчук, 248/1|https://novosibirsk.cian.ru/sale/flat/281044310/
2-комн. квартира, 50 м², 24/25 этаж |12 600 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Золотая Нива, улица Кошурникова, 23|https://novosibirsk.cian.ru/sale/flat/294749086/
2-комн. квартира, 91,3 м², 4/16 этаж |12 500 000 ₽|Новосибирская область, Новосибирск, р-н Железнодорожный, м. Красный Проспект, Сибирская улица, 57|https://novosibirsk.cian.ru/sale/flat/303659570/
2-комн. квартира, 52,3 м², 2/9 этаж Секция 4 • Сдан|7 484 270 ₽|Новосибирская область, Новосибирск, р-н Калининский, м. Заельцовская, улица Василия Клевцова, 3|https://novosibirsk.cian.ru/sale/flat/276768073/
2-комн. квартира, 56,6 м², 7/10 этаж |10 200 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, мкр. Европейский Берег, м. Речной вокзал, улица Владимира Заровного, 8|https://novosibirsk.cian.ru/sale/flat/307094889/
2-комн. квартира, 46,72 м², 2/26 этаж Секция 1 • Сдача корпуса 4 кв. 2026|6 250 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Студенческая, Северо-Чемской жилмассив, улица Аникина, 6|https://novosibirsk.cian.ru/sale/flat/299596648/
2-комн. квартира, 45 м², 1/9 этаж |4 100 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Студенческая, Путевая улица, 17|https://novosibirsk.cian.ru/sale/flat/309431349/
1-комн. квартира, 28 м², 2/16 этаж Секция 1 • Сдача корпуса 3 кв. 2026|4 600 000 ₽|Новосибирская область, Новосибирск, р-н Первомайский, м. Речной вокзал|https://novosibirsk.cian.ru/sale/flat/311693542/
1-комн. квартира, 49,44 м², 2/17 этаж |4 199 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Площадь Маркса, Беловежская улица, 6/1|https://novosibirsk.cian.ru/sale/flat/278218321/
2-комн. квартира, 65,1 м², 14/23 этаж Секция 2 • Сдан|11 543 200 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, улица Дуси Ковальчук, 248/1|https://novosibirsk.cian.ru/sale/flat/281044310/
2-комн. квартира, 46,3 м², 3/6 этаж |4 170 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Березовая Роща, проспект Дзержинского, 81|https://novosibirsk.cian.ru/sale/flat/305382362/
1-комн. квартира, 40,7 м², 20/23 этаж Секция 1 • Сдан|8 615 200 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, улица Дуси Ковальчук, 248/1|https://novosibirsk.cian.ru/sale/flat/287548313/
Большая квартира 1-комн. квартира, 54 м², 1/9 этаж|4 200 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, мкр. Плющихинский, м. Золотая Нива, улица В. Высоцкого, 64|https://novosibirsk.cian.ru/sale/flat/310354671/
2-комн. квартира, 52,3 м², 2/9 этаж Секция 4 • Сдан|7 484 270 ₽|Новосибирская область, Новосибирск, р-н Калининский, м. Заельцовская, улица Василия Клевцова, 3|https://novosibirsk.cian.ru/sale/flat/276768073/
1-комн. квартира, 35,16 м², 8/9 этаж |4 290 000 ₽|Новосибирская область, Новосибирск, р-н Калининский, м. Заельцовская, улица Василия Клевцова, 3|https://novosibirsk.cian.ru/sale/flat/307708816/
1-комн. квартира, 28,7 м², 4/9 этаж Секция 6 • Сдан|4 155 480 ₽|Новосибирская область, Новосибирск, р-н Калининский, м. Заельцовская, улица Василия Клевцова, 3|https://novosibirsk.cian.ru/sale/flat/276768206/
беловежская 6/1 1-комн. квартира, 41,2 м², 1/17 этаж|4 300 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Площадь Маркса, Беловежская улица, 6/1|https://novosibirsk.cian.ru/sale/flat/304823023/
2-комн. квартира, 116,4 м², 1/10 этаж Секция 1 • Сдан|12 910 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, улица Декабристов, 107/6|https://novosibirsk.cian.ru/sale/flat/314122142/
Однокомнатная на Уса 13 2-комн. квартира, 42,7 м², 8/17 этаж|4 350 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, мкр. Затулинский, м. Площадь Маркса, улица Виктора Уса, 13|https://novosibirsk.cian.ru/sale/flat/303501059/
2-комн. квартира, 65,67 м², 20/30 этаж Секция 1 • Сдача корпуса 4 кв. 2026|12 660 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, м. Гагаринская, Мылзавод ЖК|https://novosibirsk.cian.ru/sale/flat/311357730/
1-комн. квартира, 41,6 м², 5/5 этаж |4 400 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, Выставочная улица, 4|https://novosibirsk.cian.ru/sale/flat/311770149/
2-комн. квартира, 72,03 м², 2/15 этаж Секция 2 • Сдача корпуса 4 кв. 2026|10 340 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, мкр. Европейский Берег, Большевистская улица, с49|https://novosibirsk.cian.ru/sale/flat/307851275/
2-комн. квартира, 44,4 м², 2/5 этаж |4 500 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, Степная улица, 61а|https://novosibirsk.cian.ru/sale/flat/312906440/
1-комн. квартира, 48,08 м², 3/30 этаж Секция 1 • Сдача корпуса 1 кв. 2027|9 000 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, м. Сибирская, Мылзавод ЖК|https://novosibirsk.cian.ru/sale/flat/313927216/
2-комн. квартира, 42,2 м², 5/5 этаж |4 800 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, улица Станиславского, 32|https://novosibirsk.cian.ru/sale/flat/304935108/
2-комн. квартира, 91,49 м², 3/15 этаж Секция 4 • Сдача корпуса 3 кв. 2025|11 700 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/313252919/
2-комн. квартира, 47,8 м², 3/5 этаж |5 250 000 ₽|Новосибирская область, Новосибирск, р-н Железнодорожный, мкр. Челюскинский, м. Площадь Гарина-Михайловского, улица Челюскинцев, 26|https://novosibirsk.cian.ru/sale/flat/313531153/
1-комн. квартира, 66,6 м², 7/17 этаж Секция 6 • Сдача корпуса 2 кв. 2026|9 650 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, мкр. Европейский Берег|https://novosibirsk.cian.ru/sale/flat/312683852/
2-комн. квартира, 58,7 м², 17/17 этаж |5 250 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, мкр. Затулинский, м. Площадь Маркса, улица Петухова, 16/4|https://novosibirsk.cian.ru/sale/flat/314076175/
1-комн. квартира, 45,74 м², 3/15 этаж Секция 2 • Сдача корпуса 3 кв. 2025|7 100 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/307851238/
2-комн. квартира, 56 м², 10/17 этаж |5 300 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, улица Связистов, 162к1с|https://novosibirsk.cian.ru/sale/flat/301629952/
1-комн. квартира, 39,53 м², 7/11 этаж Секция 6 • Сдача корпуса 3 кв. 2025|9 070 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, Зыряновская улица, 53с|https://novosibirsk.cian.ru/sale/flat/313927234/
2-комн. квартира, 44,5 м², 1/5 этаж |5 500 000 ₽|Новосибирская область, Новосибирск, р-н Центральный, мкр. Ипподромский, м. Маршала Покрышкина, улица Гоголя, 31|https://novosibirsk.cian.ru/sale/flat/313861825/
2-комн. квартира, 79,1 м², 4/14 этаж Секция 3 • Сдача корпуса 1 кв. 2026|11 500 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/304932907/
2-комн. квартира, 55,5 м², 17/18 этаж |5 750 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, мкр. Ключ-Камышенскон плато, м. Речной вокзал, улица Ключ-Камышенское плато, 26/2|https://novosibirsk.cian.ru/sale/flat/302779564/
2-комн. квартира, 89,1 м², 18/25 этаж Сдача корпуса 3 кв. 2025|15 748 800 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Овражная улица, 2А|https://novosibirsk.cian.ru/sale/flat/284461541/
1-комн. квартира, 36,8 м², 6/15 этаж |5 900 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Гарина-Михайловского, 1-я Шоссейная улица, 62|https://novosibirsk.cian.ru/sale/flat/309758989/
2-комн. квартира, 59,2 м², 15/25 этаж Сдача корпуса 3 кв. 2025|11 845 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Овражная улица, 2А|https://novosibirsk.cian.ru/sale/flat/284461649/
1-комн. квартира, 35,1 м², 5/10 этаж |5 900 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Березовая Роща, улица Королева, 10/1|https://novosibirsk.cian.ru/sale/flat/313067019/
2-комн. квартира, 88,3 м², 9/25 этаж Сдача корпуса 3 кв. 2025|15 474 400 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Овражная улица, 2А|https://novosibirsk.cian.ru/sale/flat/284461262/
2-комн. квартира, 42,6 м², 3/9 этаж |6 000 000 ₽|Новосибирская область, Новосибирск, р-н Дзержинский, м. Березовая Роща, проспект Дзержинского, 12|https://novosibirsk.cian.ru/sale/flat/309557097/
2-комн. квартира, 41,84 м², 3/9 этаж Секция 2 • Сдача корпуса 1 кв. 2026|7 950 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Площадь Маркса, 19/56 Кварталы Телецентра ЖК|https://novosibirsk.cian.ru/sale/flat/301248845/
Ипподромская 75 1-комн. квартира, 42,2 м², 9/26 этаж|6 300 000 ₽|Новосибирская область, Новосибирск, р-н Калининский, мкр. Астра, м. Заельцовская, Ипподромская улица, 75|https://novosibirsk.cian.ru/sale/flat/299773191/
2-комн. квартира, 54,58 м², 8/24 этаж Секция 1 • Сдача корпуса 2 кв. 2026|10 745 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Октябрьская, улица Шевченко, 19/1к3|https://novosibirsk.cian.ru/sale/flat/309606008/
1-комн. квартира, 38,8 м², 9/20 этаж |6 400 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Речной вокзал, Обская улица, 82|https://novosibirsk.cian.ru/sale/flat/313386708/
2-комн. квартира, 61,57 м², 8/24 этаж Секция 1 • Сдача корпуса 2 кв. 2026|11 895 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Октябрьская, улица Шевченко, 19/1к3|https://novosibirsk.cian.ru/sale/flat/309606025/
1-комн. квартира, 35,5 м², 5/17 этаж |6 400 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Золотая Нива, Коммунстроевская улица, 161|https://novosibirsk.cian.ru/sale/flat/313432507/
